sale_id,product_id,quantity_sold,sale_date,total_sale_value,monthly_sale,total_sale
1,1,5,21-09-2024,99.95,0,0
2,1,5,21-09-2024,99.95,0,0
3,2,3,21-09-2024,44.97,0,0
4,3,8,21-09-2024,139.92,0,0
5,4,2,21-09-2024,43.98,0,0
6,5,7,21-09-2024,118.23,0,0
7,6,10,21-09-2024,185.9,0,0
8,7,4,21-09-2024,51.96,0,0
9,8,9,21-09-2024,202.41,0,0
10,9,6,21-09-2024,121.74,0,0
11,10,12,21-09-2024,191.88,0,0
12,11,7,21-09-2024,125.93,0,0
13,12,5,21-09-2024,67.45,0,0
14,13,4,21-09-2024,99.96,0,0
15,14,8,21-09-2024,155.92,0,0
16,15,2,21-09-2024,32.58,0,0
17,16,6,21-09-2024,143.94,0,0
18,17,10,21-09-2024,182.9,0,0
19,18,3,21-09-2024,61.47,0,0
20,19,9,21-09-2024,133.11,0,0
21,20,11,21-09-2024,241.89,0,0
